"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","AB","H","2B+3B","HR","SB","OBP","RP","GP"
"*04alp*","Ernie Clement","TOR","2B,3B,SS","349","FA","","57.4","85%","0%","498","137","32","10","6",".311","114","141"
"*04nx3*","Jonathan India","KC","2B,3B,OF","350","FA","","57.35","68%","-3%","478","117","30","12","6",".342","110","131"
"*05y3u*","Munetaka Murakami","CHW","3B","351","FA","","57.35","98%","0%","449","105","14","24","9",".361","108","139"
"*04hyc*","Ivan Herrera","STL","C","352","FA","","57.33","92%","-2%","448","125","20","16","10",".376","116","124"
"*04nky*","Trevor Larnach","MIN","OF,UT","353","FA","","57.3","55%","-3%","495","121","25","19","4",".332","114","131"
"*025i9*","J.T. Realmuto","PHI","C","354","FA","","57.26","79%","-1%","468","118","26","14","7",".312","93","123"
"*03dgq*","Ryan OHearn","PIT","1B,OF","355","FA","","57.26","79%","-2%","484","128","28","13","3",".340","121","140"
"*04pmn*","Parker Meadows","DET","OF","356","FA","","57.2","47%","-5%","448","103","31","13","12",".315","93","119"
"*0310n*","Ryan McMahon","NYY","3B","357","FA","@SF Wed 8:05PM","57.17","58%","-3%","527","117","25","23","3",".313","93","150"
"*04071*","Isaac Paredes","HOU","3B","360","FA","","56.87","97%","0%","479","118","22","22","0",".352","116","131"
"*060jo*","Cam Smith","HOU","OF","366","FA","","56.49","82%","-3%","500","121","27","10","9",".321","113","141"
"*04pse*","Brendan Donovan","SEA","2B","368","FA","","56.16","93%","-1%","479","135","31","11","4",".353","106","123"
"*02i2q*","Carlos Correa","HOU","3B,SS","370","FA","","56.03","89%","-1%","515","142","27","16","0",".343","110","135"
"*01cdf*","Giancarlo Stanton","NYY","OF,UT","371","FA","@SF Wed 8:05PM","55.85","88%","0%","443","105","17","32","0",".310","118","115"
"*06aw3*","JJ Wetherholt","STL","2B,SS","374","FA","","55.62","96%","0%","394","99","22","11","20",".370","80","118"
"*04y44*","Josh Jung","TEX","3B","375","FA","","55.62","67%","-5%","502","128","24","18","5",".297","107","131"
"*05u9q*","Jac Caglianone","KC","OF","377","FA","","55.6","98%","0%","474","115","21","20","4",".330","113","133"
"*05u3u*","Konnor Griffin","PIT","SS","378","FA","","55.57","98%","0%","411","96","17","12","18",".297","121","124"
"*04eig*","Jose Caballero","NYY","2B,3B,SS,OF","379","FA","@SF Wed 8:05PM","55.48","82%","0%","326","73","18","6","39",".313","77","107"
"*0648n*","Chase Meidroth","CHW","2B,SS","380","FA","","55.4","61%","-3%","488","123","21","7","16",".361","95","138"
"*04pbp*","Christopher Morel","MIA","OF","382","FA","","55.35","32%","-2%","458","101","22","17","12",".305","97","134"
"*06rrd*","Young Woong Kim","(N/A)","3B","384","FA","","55.25","9%","0%","482","109","22","19","8",".299","97","138"
