"BP ID","Name","Position(s)","Team","$$$","%","PA","AB","HR","SB","OBP","Runs Prod.","2B + 3B","IP","W","SO","ERA","WHIP","SV+HLD"
"119133","Jake Eder","[""rp"",""p""]","WAS","-24.08","50","0","0","0","0","0","0","0","12.3","1","10","5.05","1.4","1"
"142258","Brandan Bidois","[""p""]","PIT","-24.11","50","0","0","0","0","0","0","0","36.3","2","36","4.15","1.31","5"
"135058","Ryan Rolison","[""rp"",""p""]","CHC","-24.18","50","0","0","0","0","0","0","0","11","1","8","5.01","1.42","1"
"131860","Mitchell Parker","[""sp"",""p""]","WAS","-24.22","50","0","0","0","0","0","0","0","56","3","42","4.97","1.4","4"
"156087","Kyle Karros","[""3b"",""ci"",""u""]","COL","-24.25","50","388","358","8","3","0.307","66","20","0","0","0","0","0","0"
"144214","Bryce Jarvis","[""rp"",""p""]","AZ","-24.25","50","0","0","0","0","0","0","0","11","1","9","5.23","1.44","1"
"130861","Doug Nikhazy","[""p""]","CLE","-24.3","50","0","0","0","0","0","0","0","49.3","2","44","4.66","1.38","5"
"140632","Jordan Westburg","[""3b"",""ci"",""u""]","BAL","-24.45","50","317","293","11","4","0.302","65","17","0","0","0","0","0","0"
"152828","Dylan Ross","[""p""]","NYM","-24.52","50","0","0","0","0","0","0","0","29.3","2","38","4.12","1.36","5"
"110868","Lenyn Sosa","[""2b"",""1b"",""mi"",""ci"",""u""]","CHW","-24.6","50","407","386","14","3","0.282","76","17","0","0","0","0","0","0"
"104023","Victor Robles","[""of"",""u""]","SEA","-24.6","50","322","292","7","19","0.304","59","14","0","0","0","0","0","0"
"111707","Blaze Alexander","[""3b"",""ci"",""u""]","BAL","-24.64","50","356","316","9","8","0.304","65","16","0","0","0","0","0","0"
"125796","Stephen Kolek","[""sp"",""p""]","KC","-24.64","50","0","0","0","0","0","0","0","56.3","3","40","4.7","1.37","1"
"110387","Keider Montero","[""sp"",""rp"",""p""]","DET","-24.77","50","0","0","0","0","0","0","0","49.3","2","42","4.65","1.35","3"
"148008","Andry Lara","[""rp"",""p""]","WAS","-25.13","50","0","0","0","0","0","0","0","12.3","1","9","5.75","1.57","1"
