"BP ID","Name","Position(s)","Team","$$$","%","PA","AB","HR","SB","OBP","Runs Prod.","2B + 3B","IP","W","SO","ERA","WHIP","SV+HLD"
"106691","Cody Ponce","[""p""]","TOR","-1.3","50","0","0","0","0","0","0","0","129.3","8","98","4.16","1.27","0"
"147813","Colt Keith","[""2b"",""3b"",""mi"",""ci"",""u""]","DET","-1.32","50","531","485","17","4","0.322","104","28","0","0","0","0","0","0"
"59239","Kirby Yates","[""rp"",""p""]","LAA","-1.34","50","0","0","0","0","0","0","0","55","3","67","4.23","1.27","24"
"140293","Matt Wallner","[""of"",""u""]","MIN","-1.38","50","488","425","21","5","0.325","97","23","0","0","0","0","0","0"
"110462","Riley O'Brien","[""rp"",""p""]","STL","-1.38","50","0","0","0","0","0","0","0","63.3","3","65","4.03","1.32","28"
"150551","Samuel Basallo","[""c"",""u""]","BAL","-1.42","50","462","425","18","3","0.31","90","24","0","0","0","0","0","0"
"125761","Jared Koenig","[""rp"",""p""]","MIL","-1.46","50","0","0","0","0","0","0","0","64","4","60","3.9","1.24","14"
"105439","Cedric Mullins","[""of"",""u""]","TB","-1.5","50","511","459","15","22","0.298","92","22","0","0","0","0","0","0"
"59432","Mike Trout","[""of"",""u""]","LAA","-1.51","50","471","401","27","3","0.344","97","17","0","0","0","0","0","0"
"45613","Justin Verlander","[""sp"",""p""]","DET","-1.52","50","0","0","0","0","0","0","0","131","8","113","4.47","1.29","0"
"68490","Jason Adam","[""rp"",""p""]","SD","-1.55","50","0","0","0","0","0","0","0","48.3","3","53","3.4","1.15","17"
"126356","Jordan Leasure","[""rp"",""p""]","CHW","-1.59","50","0","0","0","0","0","0","0","56.3","3","65","4.1","1.29","23"
"127864","Davis Martin","[""sp"",""p""]","CHW","-1.59","50","0","0","0","0","0","0","0","160.3","8","124","4.46","1.32","0"
"108818","Keegan Akin","[""rp"",""p""]","BAL","-1.63","50","0","0","0","0","0","0","0","55.3","3","56","3.95","1.25","24"
"54159","Chris Martin","[""rp"",""p""]","TEX","-1.63","50","0","0","0","0","0","0","0","46","3","42","3.71","1.2","25"
"107762","Lucas Erceg","[""rp"",""p""]","KC","-1.64","50","0","0","0","0","0","0","0","56","3","49","4.2","1.29","29"
"112437","Braxton Ashcraft","[""sp"",""rp"",""p""]","PIT","-1.65","50","0","0","0","0","0","0","0","115.7","6","109","3.88","1.25","1"
"133178","PJ Poulin","[""rp"",""p""]","WAS","-1.71","50","0","0","0","0","0","0","0","56.3","3","61","4.07","1.29","23"
"99954","Taylor Rogers","[""rp"",""p""]","MIN","-1.72","50","0","0","0","0","0","0","0","62.7","3","61","4.35","1.3","26"
"102921","Gregory Soto","[""rp"",""p""]","PIT","-1.72","50","0","0","0","0","0","0","0","54.7","3","58","4.11","1.3","28"
"101728","Reynaldo López","[""p""]","ATL","-1.74","50","0","0","0","0","0","0","0","103","7","94","3.86","1.24","0"
