Name,Team,POS,ADP,IP,mW,mERA,mWHIP,mSO,mSVHLD,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Brandon Pfaadt ","ARI","SP",671.260009765625,164.052,1.7784223881337016,-7.328372236917283,-4.375400145001022,0.7598737423171712,-2.20665146036781,-11.372127711835242,5.374425610555225,-4.997702101280018,"Brandon Pfaadt","27782",694297
"Zach Eflin ","BAL","SP",517.989990234375,146.79,1.052507381013679,-6.640488203838051,-3.2722980554997783,-0.43509627481204444,-2.079345765649413,-11.374720918785608,5.374425610555225,-5.000295308230384,"Zach Eflin","13774",621107
"Hunter Bigge ","TBR","RP",999,52,-2.897941692074006,-1.867083767855255,-2.3986284768058237,-3.1839767142290745,-0.8854913897254016,-11.23312204068956,5.227574389444771,-5.00554765124479,"Hunter Bigge","26259",685801
"Rico Garcia ","BAL","RP",999,56,-2.7116605337184865,-2.536904194383286,-2.6945721648465923,-3.0487497368387517,-0.24603575277755976,-11.237922382564676,5.227574389444771,-5.010347993119907,"Rico Garcia","20023",670329
"Rob Zastryzny ","MIL","RP",999,48,-2.970988228982034,-1.353711804703198,-1.9230146738033569,-3.5702023607355287,-1.441353750551999,-11.259270818776114,5.227574389444771,-5.031696429331344,"Rob Zastryzny","15094",642239
"Yaramil Hiraldo ","BAL","RP",999,38,-3.2317691354582867,-1.0990254316708565,-1.0556105282377246,-3.7987138826034985,-2.079345765649413,-11.264464743619781,5.227574389444771,-5.03689035417501,"Yaramil Hiraldo","25215",682274
"Jacob Webb ","CHC","RP",999,54,-2.8055594312291463,-2.522103007254676,-2.620925063709382,-3.2953461886587765,-0.14505393698700547,-11.388987627838988,5.227574389444771,-5.161413238394217,"Jacob Webb","19274",657097
"Yariel Rodríguez ","TOR","RP",999,36,-3.294136618851175,-0.7675772860784364,-1.4171295423846388,-3.8630819379617383,-2.0819454083648714,-11.42387079364086,5.227574389444771,-5.196296404196089,"Yariel Rodriguez","33838",684320
"Colin Selby ","BAL","RP",999,45,-2.985016101224274,-0.8052187450446973,-2.106766754893978,-3.458392294754997,-2.079345765649413,-11.434739661567361,5.227574389444771,-5.20716527212259,"Colin Selby","24986",681882
"Tyler Alexander ","TEX","SP/RP",999,72.7568,-2.241534503411333,-4.103163421892808,-2.8377088805386914,-2.896239837237315,0.4863714470909071,-11.59227519598924,5.374425610555225,-5.217849585434017,"Tyler Alexander","17735",641302
"Connor Brogdon ","CLE","RP",999,52,-2.909568436355631,-2.2177629765152482,-2.193911886084452,-3.289472082915873,-0.8441473235537228,-11.454862705424926,5.227574389444771,-5.227288315980155,"Connor Brogdon","21205",641401
"Kyle Hart ","SDP","RP",999,40,-3.195751387450492,-1.009406658323565,-1.2670886908379548,-3.9296796790621347,-2.080770753034252,-11.4826971687084,5.227574389444771,-5.255122779263628,"Kyle Hart","19646",606996
"Mason Fluharty ","TOR","RP",999,42,-3.101094322261215,-0.8871399619111593,-1.8005404444195774,-3.630679392580977,-2.0819454083648714,-11.5013995295378,5.227574389444771,-5.273825140093028,"Mason Fluharty","31553",689254
"Yuki Matsui ","SDP","RP",999,48,-2.955822766249731,-1.4577708102536262,-2.3657473344242486,-3.3409594333591053,-1.4010303413078473,-11.521330685594558,5.227574389444771,-5.2937562961497875,"Yuki Matsui","33826",673513
"Zack Kelly ","BOS","RP",999,58,-2.672862536247197,-2.365586623237164,-3.657435356014339,-3.0000165458647197,0.14219751556434587,-11.553703545799074,5.227574389444771,-5.326129156354304,"Zack Kelly","20349",677161
"Daniel Lynch IV ","KCR","RP",999,59,-2.6380454275468526,-2.479500915820133,-2.8482079686997985,-3.467690440672959,-0.12595129420091183,-11.559396046940655,5.227574389444771,-5.331821657495883,"Daniel Lynch IV","21537",663738
"Kyle Harrison ","MIL","SP",577.3599853515625,111.274,-0.4221970756138769,-4.37927219474655,-4.267088516481702,-0.5561955773811991,-2.0870676773774566,-11.711821041600784,5.374425610555225,-5.33739543104556,"Kyle Harrison","27758",690986
"Josh White ","MIA","RP",999,47,-3.0147781561167064,-1.0898272397750917,-1.974853953643843,-3.414065859792019,-2.0836592474909508,-11.577184456818609,5.227574389444771,-5.349610067373839,"Josh White","sa3019953",687985
"Kai-Wei Teng ","HOU","SP",999,54.709,-2.668312927558363,-1.6828446018198469,-2.270298228456404,-3.038927285294299,-2.0803663651876567,-11.74074940831657,5.374425610555225,-5.366323797761347,"Kai-Wei Teng","24282",678906
"Tyler Mahle ","SFG","SP",356.7699890136719,147.981,0.9127966252377511,-5.405312919070539,-5.128437060183647,0.048657446545623186,-2.20665146036781,-11.77894736783862,5.374425610555225,-5.404521757283397,"Tyler Mahle","16358",641816
"Ryan Brasier ","TEX","RP",999,44,-3.080873805721,-1.3971593082854457,-1.3629447580975544,-3.725968872360697,-2.0825423602130084,-11.649489104677706,5.227574389444771,-5.421914715232935,"Ryan Brasier","5615",518489
"Cade Cavalli ","WSN","SP",332.8599853515625,155.867,1.0017664159209905,-4.08932058573841,-6.7673912982525115,0.2530734350691609,-2.20665146036781,-11.808523493368579,5.374425610555225,-5.434097882813355,"Cade Cavalli","27473",676917
"Ryan Zeferjahn ","LAA","RP",999,59,-2.7320074492020407,-2.700613304237975,-3.684205367153454,-2.7364456363493272,0.1864299155027307,-11.666841841440064,5.227574389444771,-5.439267451995295,"Ryan Zeferjahn","25420",666171
"Will Klein ","LAD","RP",999,52,-2.741675386497599,-1.6234151961584127,-3.6159780903085563,-3.040178793915405,-0.6500596135816068,-11.67130708046158,5.227574389444771,-5.44373269101681,"Will Klein","27787",694361
"Shane Drohan ","MIL","RP",999,48.468,-2.8544676869705428,-1.3991904239196793,-1.9444863948120887,-3.3946147766413444,-2.0870676773774566,-11.67982695972111,5.227574389444771,-5.45225257027634,"Shane Drohan","sa3014447",675660
"Ryan Lambert ","NYM","RP",999,36,-3.2905980510547796,-0.8552903328432315,-1.723905631334693,-3.77229604011191,-2.068523524141761,-11.710613579486374,5.227574389444771,-5.483039190041605,"Ryan Lambert","sa3025613",822038
